position	GC_mean	Not_aln_mean
five-prime-30kb-12100bp	46.79243930363697	13.16066212268744
five-prime-30kb-12200bp	46.803889938701204	13.16454463750749
five-prime-30kb-12300bp	46.6678282524085	13.204463750748952
five-prime-30kb-12400bp	46.705243445692886	13.2387265917603
five-prime-30kb-12500bp	46.66514559503324	13.298651685393258
five-prime-30kb-12600bp	46.74139470471633	13.305640871975429
five-prime-30kb-12700bp	46.703687297859794	13.366019926586262
five-prime-30kb-12800bp	46.781467750719024	13.340199236012284
five-prime-30kb-12900bp	46.8316980001498	13.42476219009812
five-prime-30kb-13000bp	46.848528654711	13.491611743559018
five-prime-30kb-13100bp	46.859223473065214	13.518199520671061
five-prime-30kb-13200bp	46.914894974190545	13.550146056475171
five-prime-30kb-13300bp	46.914437283642656	13.545502209572316
five-prime-30kb-13400bp	46.88789980266603	13.560674157303371
five-prime-30kb-13500bp	46.87091344141223	13.451794141883287
five-prime-30kb-13600bp	46.872407574161585	13.509026893400256
five-prime-30kb-13700bp	46.94703326341025	13.517905304165419
five-prime-30kb-13800bp	46.931610109252844	13.573601018802906
five-prime-30kb-13900bp	46.85238546007143	13.565360701176118
five-prime-30kb-14000bp	46.8262257984145	13.73031687766874
five-prime-30kb-14100bp	46.84931840019417	13.685566624222904
five-prime-30kb-14200bp	46.82578965224019	13.658003145831772
five-prime-30kb-14300bp	46.89182644297983	13.631590772917916
five-prime-30kb-14400bp	46.81347704123318	13.607399640503296
five-prime-30kb-14500bp	46.92169492122793	13.558418214499701
five-prime-30kb-14600bp	46.84604486050357	13.655781905332535
five-prime-30kb-14700bp	46.82788475488187	13.711086142322097
five-prime-30kb-14800bp	46.87701493136375	13.755880149812734
five-prime-30kb-14900bp	46.91547944738679	13.701056417172397
five-prime-30kb-15000bp	46.94507306107156	13.785312851255151
five-prime-30kb-15100bp	46.8241761871501	13.878324717164906
five-prime-30kb-15200bp	46.80677305761594	13.808271521690267
five-prime-30kb-15300bp	46.92169193270317	13.722247191011236
five-prime-30kb-15400bp	46.989064489551346	13.675679724365216
five-prime-30kb-15500bp	47.03542805782338	13.522133173545052
five-prime-30kb-15600bp	46.98765479023876	13.377874316530598
five-prime-30kb-15700bp	46.91286015367958	13.198547034152186
five-prime-30kb-15800bp	46.913412888622595	13.297857998801678
five-prime-30kb-15900bp	46.973487118034754	13.418963451168365
five-prime-30kb-16000bp	47.06102942367173	13.564334931096464
five-prime-30kb-16100bp	46.99492615100764	13.443454164170161
five-prime-30kb-16200bp	47.029883163571	13.327965847813061
five-prime-30kb-16300bp	46.91177351707609	13.267450569203115
five-prime-30kb-16400bp	46.95622148967225	13.330836641450079
five-prime-30kb-16500bp	46.98073143864288	13.246591760299625
five-prime-30kb-16600bp	46.90111243923819	13.192659176029963
five-prime-30kb-16700bp	46.96089594726197	13.255674582365721
five-prime-30kb-16800bp	46.95490974458842	13.256984495543405
five-prime-30kb-16900bp	46.94516605323975	13.300404433792691
five-prime-30kb-17000bp	46.9430047932894	13.350883762732176
five-prime-30kb-17100bp	46.89753112765417	13.385485320551227
five-prime-30kb-17200bp	46.90013841732685	13.42173457159976
five-prime-30kb-17300bp	46.82690435173395	13.478391131750431
five-prime-30kb-17400bp	46.880083888847274	13.428132724140514
five-prime-30kb-17500bp	46.85846787597628	13.377874316530598
five-prime-30kb-17600bp	46.882870348234924	13.384719101123595
five-prime-30kb-17700bp	46.85956709883815	13.270766234738971
five-prime-30kb-17800bp	46.89146478702891	13.500337103902915
five-prime-30kb-17900bp	46.95093265413139	13.631732714060979
five-prime-30kb-18000bp	46.92788644575501	13.763128324219043
five-prime-30kb-18100bp	46.86212724439028	13.74529927335381
five-prime-30kb-18200bp	46.85845148769629	13.660474870796195
five-prime-30kb-18300bp	46.9588432689324	13.588495243801962
five-prime-30kb-18400bp	46.95686204515415	13.559991012582385
five-prime-30kb-18500bp	46.872893416223505	13.600404464085088
five-prime-30kb-18600bp	46.822404544747435	13.515092502434275
five-prime-30kb-18700bp	46.874913413104835	13.578277153558053
five-prime-30kb-18800bp	46.91841353525694	13.557195295527755
five-prime-30kb-18900bp	46.97648870083934	13.515694059480111
five-prime-30kb-19000bp	47.060531989484105	13.349239643418983
five-prime-30kb-19100bp	47.061968967362226	13.448689138576778
five-prime-30kb-19200bp	47.09480528798638	13.467310716692879
five-prime-30kb-19300bp	46.884162526939434	13.49831498539654
five-prime-30kb-19400bp	47.03542715670856	13.518759829251854
five-prime-30kb-19500bp	46.87482157757516	13.676351654934852
five-prime-30kb-19600bp	46.73739275551466	13.744570915081624
five-prime-30kb-19700bp	46.795368369503464	13.647072038340571
five-prime-30kb-19800bp	46.78170380506934	13.594772710252379
five-prime-30kb-19900bp	46.82558226615742	13.557402830824534
five-prime-30kb-20000bp	46.790473960156824	13.559499737886616
five-prime-30kb-20100bp	46.840973782771535	13.412059925093633
five-prime-30kb-20200bp	46.77047779961201	13.54591072498502
five-prime-30kb-20300bp	46.91689595093185	13.495506291192331
five-prime-30kb-20400bp	46.886367041198504	13.540449438202247
five-prime-30kb-20500bp	46.89795233190465	13.566164906762525
five-prime-30kb-20600bp	46.910088376273215	13.51670161773517
five-prime-30kb-20700bp	46.86373385770559	13.58313361294188
five-prime-30kb-20800bp	46.90396679942199	13.654808268424206
five-prime-30kb-20900bp	46.88024266027561	13.759736369083283
five-prime-30kb-21000bp	46.94495206710605	13.824445775913722
five-prime-30kb-21100bp	46.885260635110846	13.745281605751947
five-prime-30kb-21200bp	46.84748162916744	13.676303175554224
five-prime-30kb-21300bp	47.0666616732829	13.6126881881507
five-prime-30kb-21400bp	47.093376415874914	13.753894547633314
five-prime-30kb-21500bp	46.938660874775316	13.759137207908928
five-prime-30kb-21600bp	46.876652072367754	13.789903378024118
five-prime-30kb-21700bp	46.88546083704517	13.80570743764512
five-prime-30kb-21800bp	46.88689722959184	13.785858737173246
five-prime-30kb-21900bp	46.92296415195291	13.862621722846441
five-prime-30kb-22000bp	47.047994552264214	13.878801498127341
five-prime-30kb-22100bp	46.87544792623458	13.923975732154895
five-prime-30kb-22200bp	46.83975701105326	13.903295880149813
five-prime-30kb-22300bp	47.001872799460635	13.939995505281294
five-prime-30kb-22400bp	46.969297915631856	13.830411985018726
five-prime-30kb-22500bp	46.90514996860041	13.799910105625889
five-prime-30kb-22600bp	46.83388726463084	13.716029962546816
five-prime-30kb-22700bp	46.85275411147999	13.675556221439809
five-prime-30kb-22800bp	46.826859689864406	13.683946363023447
five-prime-30kb-22900bp	46.80443341172372	13.619250936329587
five-prime-30kb-23000bp	46.77355805243446	13.789662921348315
five-prime-30kb-23100bp	46.78224719101124	13.822022471910113
five-prime-30kb-23200bp	46.86128883367846	13.914313534566698
five-prime-30kb-23300bp	46.79021223470662	13.802097378277153
five-prime-30kb-23400bp	46.85761928024751	13.726666666666667
five-prime-30kb-23500bp	46.766441947565546	13.64868913857678
five-prime-30kb-23600bp	46.99540705696826	13.695880149812734
five-prime-30kb-23700bp	46.940295153194995	13.849501835343471
five-prime-30kb-23800bp	46.90278916060806	13.929213483146068
five-prime-30kb-23900bp	47.01312590031691	13.874606741573034
five-prime-30kb-24000bp	47.04101043343037	13.755936774290209
five-prime-30kb-24100bp	46.987380232540644	13.636629213483147
five-prime-30kb-24200bp	46.81538250536709	13.736984043748595
five-prime-30kb-24300bp	46.77362988947452	13.701902906802518
five-prime-30kb-24400bp	46.80638337105787	13.741517489326641
five-prime-30kb-24500bp	46.83049958804584	13.668713954010936
five-prime-30kb-24600bp	46.94577185229571	13.700771477791927
