position	GC_mean	Not_aln_mean
five-prime-30kb-14400bp	50.48772948227854	17.088701684836472
five-prime-30kb-14500bp	50.49023078012176	16.773892113832648
five-prime-30kb-14600bp	50.39905139459153	16.82479116522724
five-prime-30kb-14700bp	50.34384097132774	17.000424748690357
five-prime-30kb-14800bp	50.31043021767676	17.037661050545093
five-prime-30kb-14900bp	50.35546156024352	17.103001557411865
five-prime-30kb-15000bp	50.29647458587003	17.13599037236302
five-prime-30kb-15100bp	50.334701968002264	17.229718250035397
five-prime-30kb-15200bp	50.319127849355795	17.173934588701684
five-prime-30kb-15300bp	50.41774033696729	17.051606965878523
five-prime-30kb-15400bp	50.410448817782815	17.1941101514937
five-prime-30kb-15500bp	50.331162395582616	17.113053943083674
five-prime-30kb-15600bp	50.27091887300014	17.01720232195951
five-prime-30kb-15700bp	50.31119920713578	17.11553164377743
five-prime-30kb-15800bp	50.31665014866204	17.11432818915475
five-prime-30kb-15900bp	50.27056491575818	17.162466374062014
five-prime-30kb-16000bp	50.32542828826278	16.956746425031856
five-prime-30kb-16100bp	50.27576647831851	16.68462409740903
five-prime-30kb-16200bp	50.38745735373915	16.660838170748974
five-prime-30kb-16300bp	50.39869743734957	16.50162820331304
five-prime-30kb-16400bp	50.31268582755203	16.488460993911936
five-prime-30kb-16500bp	50.24847798385955	16.323516919156166
five-prime-30kb-16600bp	50.298669120770214	16.36188588418519
five-prime-30kb-16700bp	50.29838595497664	16.45794987965454
five-prime-30kb-16800bp	50.272276491800774	16.510831091604135
five-prime-30kb-16900bp	50.1489966419873	16.603724157462477
five-prime-30kb-17000bp	50.38585183998718	16.57861946902655
five-prime-30kb-17100bp	50.33189380530973	16.723185840707966
five-prime-30kb-17200bp	50.352532659081334	16.56169911504425
five-prime-30kb-17300bp	50.316371665985145	16.47454867256637
five-prime-30kb-17400bp	50.20193430328484	16.53246017699115
five-prime-30kb-17500bp	50.28951090006475	16.604601769911504
five-prime-30kb-17600bp	50.27313274336283	16.641345132743364
five-prime-30kb-17700bp	50.33314117151284	16.478442477876108
five-prime-30kb-17800bp	50.21662107803701	16.374159292035397
five-prime-30kb-17900bp	50.34038938053097	16.23837168141593
five-prime-30kb-18000bp	50.400004290694554	16.002690265486727
five-prime-30kb-18100bp	50.25170174777199	15.813849748636976
five-prime-30kb-18200bp	50.295777143421816	15.832613467393614
five-prime-30kb-18300bp	50.35068092237249	15.84443815053459
five-prime-30kb-18400bp	50.4038801954259	15.942717552927848
five-prime-30kb-18500bp	50.22431494724917	15.947319974509664
five-prime-30kb-18600bp	50.28584578347377	15.964101111661828
five-prime-30kb-18700bp	50.221199461870704	15.957162076046165
five-prime-30kb-18800bp	50.208241874955746	16.12603554485591
five-prime-30kb-18900bp	50.34022516462508	15.954683849040572
five-prime-30kb-19000bp	50.252212702683565	15.951355944204488
five-prime-30kb-19100bp	50.43653070154115	16.048222631355333
five-prime-30kb-19200bp	50.3969998773839	16.036960985626283
five-prime-30kb-19300bp	50.34652694186787	16.060751964879984
five-prime-30kb-19400bp	50.38221341074843	15.919776251504638
five-prime-30kb-19500bp	50.32251554875423	15.6333191730388
five-prime-30kb-19600bp	50.31357185562793	15.806924384027187
five-prime-30kb-19700bp	50.31910223732654	15.893797790994054
five-prime-30kb-19800bp	50.45907622221341	16.18174738034551
five-prime-30kb-19900bp	50.375446511385334	16.347847635230814
five-prime-30kb-20000bp	50.49964882028167	16.46856414613424
five-prime-30kb-20100bp	50.310120987727636	16.728527933158677
five-prime-30kb-20200bp	50.373513188455945	16.62097288111591
five-prime-30kb-20300bp	50.427566273126395	16.57357314827928
five-prime-30kb-20400bp	50.43572924664018	16.480385214558844
five-prime-30kb-20500bp	50.378488436385084	16.515366095453903
five-prime-30kb-20600bp	50.27660807670722	16.517278005948167
five-prime-30kb-20700bp	50.439951848180144	16.43308313270075
five-prime-30kb-20800bp	50.2414672142756	16.403271491290184
five-prime-30kb-20900bp	50.33847896898456	16.2972666761082
five-prime-30kb-21000bp	50.30887475006996	16.252849961056434
five-prime-30kb-21100bp	50.349175931171224	16.115068687154793
five-prime-30kb-21200bp	50.33078429984187	16.096650853218154
